g19user_story_1021_AND_user_story_1036@0@g19@1021@As an OlderPerson, I want to #use# #ALFRED# as much as possible with speech interaction.@1036@As an OlderPerson, I want to #use# #ALFRED# to pay for small amounts.@2@2@0@True@False@False@True
g19user_story_1075_AND_user_story_1077@346@g19@1075@As an OlderPerson, I want to #have# #ALFRED# to detect falls and send an emergency to a specific contact.@1077@As an OlderPerson, I want to #have# #ALFRED# ask spontaneous questions but it would be better to programme it during certain times of the day.@2@2@0@False@True@False@True
g19user_story_1075_AND_user_story_1078@347@g19@1075@As an OlderPerson, I want to #have# #ALFRED# to detect falls and send an emergency to a specific contact.@1078@As an OlderPerson, I want to #have# #ALFRED# to initiate questions, but it should be in the domains of my interest such as cinema, exhibitions, cooking.@2@2@0@False@True@False@True
g19user_story_1075_AND_user_story_1098@348@g19@1075@As an OlderPerson, I want to #have# #ALFRED# to detect falls and send an emergency to a specific contact.@1098@As an OlderPerson, I want to #have# #ALFRED# to enable me to #have# face to face contacts as well, so that I do not just #have# virtual contacts over #ALFRED#.@2@2@0@False@True@False@True
g19user_story_1075_AND_user_story_1107@349@g19@1075@As an OlderPerson, I want to #have# #ALFRED# to detect falls and send an emergency to a specific contact.@1107@As a MedicalCaregiver, I want to #have# #ALFRED# to be able to determine the user's blood pressure.@1@1@0@True@False@False@True
g19user_story_1075_AND_user_story_1108@350@g19@1075@As an OlderPerson, I want to #have# #ALFRED# to detect falls and send an emergency to a specific contact.@1108@As a MedicalCaregiver, I want to #have# #ALFRED# to be able to determine the user's body temperature.@1@1@0@True@False@False@True
g19user_story_1075_AND_user_story_1109@351@g19@1075@As an OlderPerson, I want to #have# #ALFRED# to detect falls and send an emergency to a specific contact.@1109@As a MedicalCaregiver, I want to #have# #ALFRED# to be able to determine the user's heart rate.@1@1@0@True@False@False@True
g19user_story_1075_AND_user_story_1110@352@g19@1075@As an OlderPerson, I want to #have# #ALFRED# to detect falls and send an emergency to a specific contact.@1110@As a MedicalCaregiver, I want to #have# #ALFRED# to be able to determine the user's breathing frequency.@1@1@0@True@False@False@True
g19user_story_1075_AND_user_story_1113@353@g19@1075@As an OlderPerson, I want to #have# #ALFRED# to detect falls and send an emergency to a specific contact.@1113@As a SocialCaregiver, I want to #have# #ALFRED# to be able to recognize pain and or stress by using skin conduction sensors.@1@1@0@True@False@False@True
g19user_story_1075_AND_user_story_1115@354@g19@1075@As an OlderPerson, I want to #have# #ALFRED# to detect falls and send an emergency to a specific contact.@1115@As an OlderPerson, I want to #have# #ALFRED# to give me goals and missions that encourage me to do new activities and exercises and to go out.@2@2@0@False@True@False@True
g19user_story_1075_AND_user_story_1116@355@g19@1075@As an OlderPerson, I want to #have# #ALFRED# to detect falls and send an emergency to a specific contact.@1116@As an OlderPerson, I want to #have# #ALFRED# to set limits in the games duration as I get bored easily.@2@2@0@False@True@False@True
g19user_story_1075_AND_user_story_1121@356@g19@1075@As an OlderPerson, I want to #have# #ALFRED# to detect falls and send an emergency to a specific contact.@1121@As an OlderPerson, I want to #have# #ALFRED# to remind me to keep a good body posture.@2@2@0@False@True@False@True
g19user_story_1075_AND_user_story_1122@357@g19@1075@As an OlderPerson, I want to #have# #ALFRED# to detect falls and send an emergency to a specific contact.@1122@As a MedicalCaregiver, I want to #have# #ALFRED# to remind people to exercise regularly.@1@1@0@True@False@False@True
g19user_story_1075_AND_user_story_1126@358@g19@1075@As an OlderPerson, I want to #have# #ALFRED# to detect falls and send an emergency to a specific contact.@1126@As a MedicalCaregiver, I want to #have# #ALFRED# to offer training for specific muscle groups.@1@1@0@True@False@False@True
g19user_story_1075_AND_user_story_1128@359@g19@1075@As an OlderPerson, I want to #have# #ALFRED# to detect falls and send an emergency to a specific contact.@1128@As an OlderPerson, I want to #have# #ALFRED# to help to motivate me during the week to do exercise that should change daily, as the constant change motivates me.@2@2@0@False@True@False@True
g19user_story_1075_AND_user_story_1129@360@g19@1075@As an OlderPerson, I want to #have# #ALFRED# to detect falls and send an emergency to a specific contact.@1129@As a MedicalCaregiver, I want to #have# #ALFRED# to propose me games that require the combination of mental and physical exercise, such as opposing motion exercises of the arms and legs.@1@1@0@True@False@False@True
g19user_story_1075_AND_user_story_1134@361@g19@1075@As an OlderPerson, I want to #have# #ALFRED# to detect falls and send an emergency to a specific contact.@1134@As a MedicalCaregiver, I want to #have# #ALFRED# to propose training that promotes complex thinking.@1@1@0@True@False@False@True
g19user_story_1076_AND_user_story_1077@362@g19@1076@As an OlderPerson, I want to #have# #ALFRED# to suggest healthy recipes.@1077@As an OlderPerson, I want to #have# #ALFRED# ask spontaneous questions but it would be better to programme it during certain times of the day.@2@2@0@False@True@False@True
g19user_story_1076_AND_user_story_1078@363@g19@1076@As an OlderPerson, I want to #have# #ALFRED# to suggest healthy recipes.@1078@As an OlderPerson, I want to #have# #ALFRED# to initiate questions, but it should be in the domains of my interest such as cinema, exhibitions, cooking.@2@2@0@False@True@False@True
g19user_story_1076_AND_user_story_1098@364@g19@1076@As an OlderPerson, I want to #have# #ALFRED# to suggest healthy recipes.@1098@As an OlderPerson, I want to #have# #ALFRED# to enable me to #have# face to face contacts as well, so that I do not just #have# virtual contacts over #ALFRED#.@2@2@0@False@True@False@True
g19user_story_1076_AND_user_story_1107@365@g19@1076@As an OlderPerson, I want to #have# #ALFRED# to suggest healthy recipes.@1107@As a MedicalCaregiver, I want to #have# #ALFRED# to be able to determine the user's blood pressure.@1@1@0@True@False@False@True
g19user_story_1076_AND_user_story_1108@366@g19@1076@As an OlderPerson, I want to #have# #ALFRED# to suggest healthy recipes.@1108@As a MedicalCaregiver, I want to #have# #ALFRED# to be able to determine the user's body temperature.@1@1@0@True@False@False@True
g19user_story_1076_AND_user_story_1109@367@g19@1076@As an OlderPerson, I want to #have# #ALFRED# to suggest healthy recipes.@1109@As a MedicalCaregiver, I want to #have# #ALFRED# to be able to determine the user's heart rate.@1@1@0@True@False@False@True
g19user_story_1076_AND_user_story_1110@368@g19@1076@As an OlderPerson, I want to #have# #ALFRED# to suggest healthy recipes.@1110@As a MedicalCaregiver, I want to #have# #ALFRED# to be able to determine the user's breathing frequency.@1@1@0@True@False@False@True
g19user_story_1076_AND_user_story_1113@369@g19@1076@As an OlderPerson, I want to #have# #ALFRED# to suggest healthy recipes.@1113@As a SocialCaregiver, I want to #have# #ALFRED# to be able to recognize pain and or stress by using skin conduction sensors.@1@1@0@True@False@False@True
g19user_story_1076_AND_user_story_1115@370@g19@1076@As an OlderPerson, I want to #have# #ALFRED# to suggest healthy recipes.@1115@As an OlderPerson, I want to #have# #ALFRED# to give me goals and missions that encourage me to do new activities and exercises and to go out.@2@2@0@False@True@False@True
g19user_story_1076_AND_user_story_1116@371@g19@1076@As an OlderPerson, I want to #have# #ALFRED# to suggest healthy recipes.@1116@As an OlderPerson, I want to #have# #ALFRED# to set limits in the games duration as I get bored easily.@2@2@0@False@True@False@True
g19user_story_1076_AND_user_story_1121@372@g19@1076@As an OlderPerson, I want to #have# #ALFRED# to suggest healthy recipes.@1121@As an OlderPerson, I want to #have# #ALFRED# to remind me to keep a good body posture.@2@2@0@False@True@False@True
g19user_story_1076_AND_user_story_1122@373@g19@1076@As an OlderPerson, I want to #have# #ALFRED# to suggest healthy recipes.@1122@As a MedicalCaregiver, I want to #have# #ALFRED# to remind people to exercise regularly.@1@1@0@True@False@False@True
g19user_story_1076_AND_user_story_1126@374@g19@1076@As an OlderPerson, I want to #have# #ALFRED# to suggest healthy recipes.@1126@As a MedicalCaregiver, I want to #have# #ALFRED# to offer training for specific muscle groups.@1@1@0@True@False@False@True
g19user_story_1076_AND_user_story_1128@375@g19@1076@As an OlderPerson, I want to #have# #ALFRED# to suggest healthy recipes.@1128@As an OlderPerson, I want to #have# #ALFRED# to help to motivate me during the week to do exercise that should change daily, as the constant change motivates me.@2@2@0@False@True@False@True
g19user_story_1076_AND_user_story_1129@376@g19@1076@As an OlderPerson, I want to #have# #ALFRED# to suggest healthy recipes.@1129@As a MedicalCaregiver, I want to #have# #ALFRED# to propose me games that require the combination of mental and physical exercise, such as opposing motion exercises of the arms and legs.@1@1@0@True@False@False@True
g19user_story_1076_AND_user_story_1134@377@g19@1076@As an OlderPerson, I want to #have# #ALFRED# to suggest healthy recipes.@1134@As a MedicalCaregiver, I want to #have# #ALFRED# to propose training that promotes complex thinking.@1@1@0@True@False@False@True
g19user_story_1077_AND_user_story_1078@378@g19@1077@As an OlderPerson, I want to #have# #ALFRED# ask spontaneous questions but it would be better to programme it during certain times of the day.@1078@As an OlderPerson, I want to #have# #ALFRED# to initiate questions, but it should be in the domains of my interest such as cinema, exhibitions, cooking.@2@2@0@False@True@False@True
g19user_story_1077_AND_user_story_1098@379@g19@1077@As an OlderPerson, I want to #have# #ALFRED# ask spontaneous questions but it would be better to programme it during certain times of the day.@1098@As an OlderPerson, I want to #have# #ALFRED# to enable me to #have# face to face contacts as well, so that I do not just #have# virtual contacts over #ALFRED#.@2@2@0@False@True@False@True
g19user_story_1077_AND_user_story_1107@380@g19@1077@As an OlderPerson, I want to #have# #ALFRED# ask spontaneous questions but it would be better to programme it during certain times of the day.@1107@As a MedicalCaregiver, I want to #have# #ALFRED# to be able to determine the user's blood pressure.@1@1@0@True@False@False@True
g19user_story_1077_AND_user_story_1108@381@g19@1077@As an OlderPerson, I want to #have# #ALFRED# ask spontaneous questions but it would be better to programme it during certain times of the day.@1108@As a MedicalCaregiver, I want to #have# #ALFRED# to be able to determine the user's body temperature.@1@1@0@True@False@False@True
g19user_story_1077_AND_user_story_1109@382@g19@1077@As an OlderPerson, I want to #have# #ALFRED# ask spontaneous questions but it would be better to programme it during certain times of the day.@1109@As a MedicalCaregiver, I want to #have# #ALFRED# to be able to determine the user's heart rate.@1@1@0@True@False@False@True
g19user_story_1077_AND_user_story_1110@383@g19@1077@As an OlderPerson, I want to #have# #ALFRED# ask spontaneous questions but it would be better to programme it during certain times of the day.@1110@As a MedicalCaregiver, I want to #have# #ALFRED# to be able to determine the user's breathing frequency.@1@1@0@True@False@False@True
g19user_story_1077_AND_user_story_1113@384@g19@1077@As an OlderPerson, I want to #have# #ALFRED# ask spontaneous questions but it would be better to programme it during certain times of the day.@1113@As a SocialCaregiver, I want to #have# #ALFRED# to be able to recognize pain and or stress by using skin conduction sensors.@1@1@0@True@False@False@True
g19user_story_1077_AND_user_story_1115@385@g19@1077@As an OlderPerson, I want to #have# #ALFRED# ask spontaneous questions but it would be better to programme it during certain times of the day.@1115@As an OlderPerson, I want to #have# #ALFRED# to give me goals and missions that encourage me to do new activities and exercises and to go out.@2@2@0@False@True@False@True
g19user_story_1077_AND_user_story_1116@386@g19@1077@As an OlderPerson, I want to #have# #ALFRED# ask spontaneous questions but it would be better to programme it during certain times of the day.@1116@As an OlderPerson, I want to #have# #ALFRED# to set limits in the games duration as I get bored easily.@2@2@0@False@True@False@True
g19user_story_1077_AND_user_story_1121@387@g19@1077@As an OlderPerson, I want to #have# #ALFRED# ask spontaneous questions but it would be better to programme it during certain times of the day.@1121@As an OlderPerson, I want to #have# #ALFRED# to remind me to keep a good body posture.@2@2@0@False@True@False@True
g19user_story_1077_AND_user_story_1122@388@g19@1077@As an OlderPerson, I want to #have# #ALFRED# ask spontaneous questions but it would be better to programme it during certain times of the day.@1122@As a MedicalCaregiver, I want to #have# #ALFRED# to remind people to exercise regularly.@1@1@0@True@False@False@True
g19user_story_1077_AND_user_story_1126@389@g19@1077@As an OlderPerson, I want to #have# #ALFRED# ask spontaneous questions but it would be better to programme it during certain times of the day.@1126@As a MedicalCaregiver, I want to #have# #ALFRED# to offer training for specific muscle groups.@1@1@0@True@False@False@True
g19user_story_1077_AND_user_story_1128@390@g19@1077@As an OlderPerson, I want to #have# #ALFRED# ask spontaneous questions but it would be better to programme it during certain times of the day.@1128@As an OlderPerson, I want to #have# #ALFRED# to help to motivate me during the week to do exercise that should change daily, as the constant change motivates me.@2@2@0@False@True@False@True
g19user_story_1077_AND_user_story_1129@391@g19@1077@As an OlderPerson, I want to #have# #ALFRED# ask spontaneous questions but it would be better to programme it during certain times of the day.@1129@As a MedicalCaregiver, I want to #have# #ALFRED# to propose me games that require the combination of mental and physical exercise, such as opposing motion exercises of the arms and legs.@1@1@0@True@False@False@True
g19user_story_1077_AND_user_story_1134@392@g19@1077@As an OlderPerson, I want to #have# #ALFRED# ask spontaneous questions but it would be better to programme it during certain times of the day.@1134@As a MedicalCaregiver, I want to #have# #ALFRED# to propose training that promotes complex thinking.@1@1@0@True@False@False@True
g19user_story_1078_AND_user_story_1098@393@g19@1078@As an OlderPerson, I want to #have# #ALFRED# to initiate questions, but it should be in the domains of my interest such as cinema, exhibitions, cooking.@1098@As an OlderPerson, I want to #have# #ALFRED# to enable me to #have# face to face contacts as well, so that I do not just #have# virtual contacts over #ALFRED#.@2@2@0@False@True@False@True
g19user_story_1078_AND_user_story_1107@394@g19@1078@As an OlderPerson, I want to #have# #ALFRED# to initiate questions, but it should be in the domains of my interest such as cinema, exhibitions, cooking.@1107@As a MedicalCaregiver, I want to #have# #ALFRED# to be able to determine the user's blood pressure.@1@1@0@True@False@False@True
g19user_story_1078_AND_user_story_1108@395@g19@1078@As an OlderPerson, I want to #have# #ALFRED# to initiate questions, but it should be in the domains of my interest such as cinema, exhibitions, cooking.@1108@As a MedicalCaregiver, I want to #have# #ALFRED# to be able to determine the user's body temperature.@1@1@0@True@False@False@True
g19user_story_1078_AND_user_story_1109@396@g19@1078@As an OlderPerson, I want to #have# #ALFRED# to initiate questions, but it should be in the domains of my interest such as cinema, exhibitions, cooking.@1109@As a MedicalCaregiver, I want to #have# #ALFRED# to be able to determine the user's heart rate.@1@1@0@True@False@False@True
g19user_story_1078_AND_user_story_1110@397@g19@1078@As an OlderPerson, I want to #have# #ALFRED# to initiate questions, but it should be in the domains of my interest such as cinema, exhibitions, cooking.@1110@As a MedicalCaregiver, I want to #have# #ALFRED# to be able to determine the user's breathing frequency.@1@1@0@True@False@False@True
g19user_story_1078_AND_user_story_1113@398@g19@1078@As an OlderPerson, I want to #have# #ALFRED# to initiate questions, but it should be in the domains of my interest such as cinema, exhibitions, cooking.@1113@As a SocialCaregiver, I want to #have# #ALFRED# to be able to recognize pain and or stress by using skin conduction sensors.@1@1@0@True@False@False@True
g19user_story_1078_AND_user_story_1115@399@g19@1078@As an OlderPerson, I want to #have# #ALFRED# to initiate questions, but it should be in the domains of my interest such as cinema, exhibitions, cooking.@1115@As an OlderPerson, I want to #have# #ALFRED# to give me goals and missions that encourage me to do new activities and exercises and to go out.@2@2@0@False@True@False@True
g19user_story_1078_AND_user_story_1116@400@g19@1078@As an OlderPerson, I want to #have# #ALFRED# to initiate questions, but it should be in the domains of my interest such as cinema, exhibitions, cooking.@1116@As an OlderPerson, I want to #have# #ALFRED# to set limits in the games duration as I get bored easily.@2@2@0@False@True@False@True
g19user_story_1078_AND_user_story_1121@401@g19@1078@As an OlderPerson, I want to #have# #ALFRED# to initiate questions, but it should be in the domains of my interest such as cinema, exhibitions, cooking.@1121@As an OlderPerson, I want to #have# #ALFRED# to remind me to keep a good body posture.@2@2@0@False@True@False@True
g19user_story_1078_AND_user_story_1122@402@g19@1078@As an OlderPerson, I want to #have# #ALFRED# to initiate questions, but it should be in the domains of my interest such as cinema, exhibitions, cooking.@1122@As a MedicalCaregiver, I want to #have# #ALFRED# to remind people to exercise regularly.@1@1@0@True@False@False@True
g19user_story_1078_AND_user_story_1126@403@g19@1078@As an OlderPerson, I want to #have# #ALFRED# to initiate questions, but it should be in the domains of my interest such as cinema, exhibitions, cooking.@1126@As a MedicalCaregiver, I want to #have# #ALFRED# to offer training for specific muscle groups.@1@1@0@True@False@False@True
g19user_story_1078_AND_user_story_1128@404@g19@1078@As an OlderPerson, I want to #have# #ALFRED# to initiate questions, but it should be in the domains of my interest such as cinema, exhibitions, cooking.@1128@As an OlderPerson, I want to #have# #ALFRED# to help to motivate me during the week to do exercise that should change daily, as the constant change motivates me.@2@2@0@False@True@False@True
g19user_story_1078_AND_user_story_1129@405@g19@1078@As an OlderPerson, I want to #have# #ALFRED# to initiate questions, but it should be in the domains of my interest such as cinema, exhibitions, cooking.@1129@As a MedicalCaregiver, I want to #have# #ALFRED# to propose me games that require the combination of mental and physical exercise, such as opposing motion exercises of the arms and legs.@1@1@0@True@False@False@True
g19user_story_1078_AND_user_story_1134@406@g19@1078@As an OlderPerson, I want to #have# #ALFRED# to initiate questions, but it should be in the domains of my interest such as cinema, exhibitions, cooking.@1134@As a MedicalCaregiver, I want to #have# #ALFRED# to propose training that promotes complex thinking.@1@1@0@True@False@False@True
g19user_story_1081_AND_user_story_1082@407@g19@1081@As an OlderPerson, I want to #use# #ALFRED# to maintain my contact list in my phone.@1082@As an OlderPerson, I want to #use# #ALFRED# to manage my agenda.@2@2@0@False@True@False@True
g19user_story_1081_AND_user_story_1087@408@g19@1081@As an OlderPerson, I want to #use# #ALFRED# to maintain my contact list in my phone.@1087@As an OlderPerson, I want to #use# #ALFRED# to set up social groups of people with similar diseases.@2@2@0@False@True@False@True
g19user_story_1081_AND_user_story_1088@409@g19@1081@As an OlderPerson, I want to #use# #ALFRED# to maintain my contact list in my phone.@1088@As an OlderPerson, I want to #use# #ALFRED# to contact people from my own circle.@2@2@0@False@True@False@True
g19user_story_1081_AND_user_story_1089@410@g19@1081@As an OlderPerson, I want to #use# #ALFRED# to maintain my contact list in my phone.@1089@As an OlderPerson, I want to #use# #ALFRED# to learn about art expositions or a m#use#um.@2@2@0@False@True@False@True
g19user_story_1081_AND_user_story_1090@411@g19@1081@As an OlderPerson, I want to #use# #ALFRED# to maintain my contact list in my phone.@1090@As an OlderPerson, I want to #use# #ALFRED# to learn about all the social activities that are organized in my neighborhood.@2@2@0@False@True@False@True
g19user_story_1081_AND_user_story_1091@412@g19@1081@As an OlderPerson, I want to #use# #ALFRED# to maintain my contact list in my phone.@1091@As an OlderPerson, I want to #use# #ALFRED# to get a personalized invitation to a social event, so that it motivates more to go.@2@2@0@False@True@False@True
g19user_story_1081_AND_user_story_1092@413@g19@1081@As an OlderPerson, I want to #use# #ALFRED# to maintain my contact list in my phone.@1092@As an OlderPerson, I want to #use# #ALFRED# to navigate to an event or concert and help me when I am lost.@2@2@0@False@True@False@True
g19user_story_1081_AND_user_story_1093@414@g19@1081@As an OlderPerson, I want to #use# #ALFRED# to maintain my contact list in my phone.@1093@As an OlderPerson, I want to #use# #ALFRED# to help me navigate despite my mild cognitive impairments.@2@2@0@False@True@False@True
g19user_story_1081_AND_user_story_1095@415@g19@1081@As an OlderPerson, I want to #use# #ALFRED# to maintain my contact list in my phone.@1095@As an OlderPerson, I want to #use# #ALFRED# to organize a meeting with a group of friends at a certain place.@2@2@0@False@True@False@True
g19user_story_1082_AND_user_story_1087@416@g19@1082@As an OlderPerson, I want to #use# #ALFRED# to manage my agenda.@1087@As an OlderPerson, I want to #use# #ALFRED# to set up social groups of people with similar diseases.@2@2@0@False@True@False@True
g19user_story_1082_AND_user_story_1088@417@g19@1082@As an OlderPerson, I want to #use# #ALFRED# to manage my agenda.@1088@As an OlderPerson, I want to #use# #ALFRED# to contact people from my own circle.@2@2@0@False@True@False@True
g19user_story_1082_AND_user_story_1089@418@g19@1082@As an OlderPerson, I want to #use# #ALFRED# to manage my agenda.@1089@As an OlderPerson, I want to #use# #ALFRED# to learn about art expositions or a m#use#um.@2@2@0@False@True@False@True
g19user_story_1082_AND_user_story_1090@419@g19@1082@As an OlderPerson, I want to #use# #ALFRED# to manage my agenda.@1090@As an OlderPerson, I want to #use# #ALFRED# to learn about all the social activities that are organized in my neighborhood.@2@2@0@False@True@False@True
g19user_story_1082_AND_user_story_1091@420@g19@1082@As an OlderPerson, I want to #use# #ALFRED# to manage my agenda.@1091@As an OlderPerson, I want to #use# #ALFRED# to get a personalized invitation to a social event, so that it motivates more to go.@2@2@0@False@True@False@True
g19user_story_1082_AND_user_story_1092@421@g19@1082@As an OlderPerson, I want to #use# #ALFRED# to manage my agenda.@1092@As an OlderPerson, I want to #use# #ALFRED# to navigate to an event or concert and help me when I am lost.@2@2@0@False@True@False@True
g19user_story_1082_AND_user_story_1093@422@g19@1082@As an OlderPerson, I want to #use# #ALFRED# to manage my agenda.@1093@As an OlderPerson, I want to #use# #ALFRED# to help me navigate despite my mild cognitive impairments.@2@2@0@False@True@False@True
g19user_story_1082_AND_user_story_1095@423@g19@1082@As an OlderPerson, I want to #use# #ALFRED# to manage my agenda.@1095@As an OlderPerson, I want to #use# #ALFRED# to organize a meeting with a group of friends at a certain place.@2@2@0@False@True@False@True
g19user_story_1087_AND_user_story_1088@424@g19@1087@As an OlderPerson, I want to #use# #ALFRED# to set up social groups of people with similar diseases.@1088@As an OlderPerson, I want to #use# #ALFRED# to contact people from my own circle.@2@2@0@False@True@False@True
g19user_story_1087_AND_user_story_1089@425@g19@1087@As an OlderPerson, I want to #use# #ALFRED# to set up social groups of people with similar diseases.@1089@As an OlderPerson, I want to #use# #ALFRED# to learn about art expositions or a m#use#um.@2@2@0@False@True@False@True
g19user_story_1087_AND_user_story_1090@426@g19@1087@As an OlderPerson, I want to #use# #ALFRED# to set up social groups of people with similar diseases.@1090@As an OlderPerson, I want to #use# #ALFRED# to learn about all the social activities that are organized in my neighborhood.@2@2@0@False@True@False@True
g19user_story_1087_AND_user_story_1091@427@g19@1087@As an OlderPerson, I want to #use# #ALFRED# to set up social groups of people with similar diseases.@1091@As an OlderPerson, I want to #use# #ALFRED# to get a personalized invitation to a social event, so that it motivates more to go.@2@2@0@False@True@False@True
g19user_story_1087_AND_user_story_1092@428@g19@1087@As an OlderPerson, I want to #use# #ALFRED# to set up social groups of people with similar diseases.@1092@As an OlderPerson, I want to #use# #ALFRED# to navigate to an event or concert and help me when I am lost.@2@2@0@False@True@False@True
g19user_story_1087_AND_user_story_1093@429@g19@1087@As an OlderPerson, I want to #use# #ALFRED# to set up social groups of people with similar diseases.@1093@As an OlderPerson, I want to #use# #ALFRED# to help me navigate despite my mild cognitive impairments.@2@2@0@False@True@False@True
g19user_story_1087_AND_user_story_1095@430@g19@1087@As an OlderPerson, I want to #use# #ALFRED# to set up social groups of people with similar diseases.@1095@As an OlderPerson, I want to #use# #ALFRED# to organize a meeting with a group of friends at a certain place.@2@2@0@False@True@False@True
g19user_story_1088_AND_user_story_1089@431@g19@1088@As an OlderPerson, I want to #use# #ALFRED# to contact people from my own circle.@1089@As an OlderPerson, I want to #use# #ALFRED# to learn about art expositions or a m#use#um.@2@2@0@False@True@False@True
g19user_story_1088_AND_user_story_1090@432@g19@1088@As an OlderPerson, I want to #use# #ALFRED# to contact people from my own circle.@1090@As an OlderPerson, I want to #use# #ALFRED# to learn about all the social activities that are organized in my neighborhood.@2@2@0@False@True@False@True
g19user_story_1088_AND_user_story_1091@433@g19@1088@As an OlderPerson, I want to #use# #ALFRED# to contact people from my own circle.@1091@As an OlderPerson, I want to #use# #ALFRED# to get a personalized invitation to a social event, so that it motivates more to go.@2@2@0@False@True@False@True
g19user_story_1088_AND_user_story_1092@434@g19@1088@As an OlderPerson, I want to #use# #ALFRED# to contact people from my own circle.@1092@As an OlderPerson, I want to #use# #ALFRED# to navigate to an event or concert and help me when I am lost.@2@2@0@False@True@False@True
g19user_story_1088_AND_user_story_1093@435@g19@1088@As an OlderPerson, I want to #use# #ALFRED# to contact people from my own circle.@1093@As an OlderPerson, I want to #use# #ALFRED# to help me navigate despite my mild cognitive impairments.@2@2@0@False@True@False@True
g19user_story_1088_AND_user_story_1095@436@g19@1088@As an OlderPerson, I want to #use# #ALFRED# to contact people from my own circle.@1095@As an OlderPerson, I want to #use# #ALFRED# to organize a meeting with a group of friends at a certain place.@2@2@0@False@True@False@True
g19user_story_1089_AND_user_story_1090@437@g19@1089@As an OlderPerson, I want to #use# #ALFRED# to learn about art expositions or a m#use#um.@1090@As an OlderPerson, I want to #use# #ALFRED# to learn about all the social activities that are organized in my neighborhood.@2@2@0@False@True@False@True
g19user_story_1089_AND_user_story_1091@438@g19@1089@As an OlderPerson, I want to #use# #ALFRED# to learn about art expositions or a m#use#um.@1091@As an OlderPerson, I want to #use# #ALFRED# to get a personalized invitation to a social event, so that it motivates more to go.@2@2@0@False@True@False@True
g19user_story_1089_AND_user_story_1092@439@g19@1089@As an OlderPerson, I want to #use# #ALFRED# to learn about art expositions or a m#use#um.@1092@As an OlderPerson, I want to #use# #ALFRED# to navigate to an event or concert and help me when I am lost.@2@2@0@False@True@False@True
g19user_story_1089_AND_user_story_1093@440@g19@1089@As an OlderPerson, I want to #use# #ALFRED# to learn about art expositions or a m#use#um.@1093@As an OlderPerson, I want to #use# #ALFRED# to help me navigate despite my mild cognitive impairments.@2@2@0@False@True@False@True
g19user_story_1089_AND_user_story_1095@441@g19@1089@As an OlderPerson, I want to #use# #ALFRED# to learn about art expositions or a m#use#um.@1095@As an OlderPerson, I want to #use# #ALFRED# to organize a meeting with a group of friends at a certain place.@2@2@0@False@True@False@True
g19user_story_1090_AND_user_story_1091@442@g19@1090@As an OlderPerson, I want to #use# #ALFRED# to learn about all the social activities that are organized in my neighborhood.@1091@As an OlderPerson, I want to #use# #ALFRED# to get a personalized invitation to a social event, so that it motivates more to go.@2@2@0@False@True@False@True
g19user_story_1090_AND_user_story_1092@443@g19@1090@As an OlderPerson, I want to #use# #ALFRED# to learn about all the social activities that are organized in my neighborhood.@1092@As an OlderPerson, I want to #use# #ALFRED# to navigate to an event or concert and help me when I am lost.@2@2@0@False@True@False@True
g19user_story_1090_AND_user_story_1093@444@g19@1090@As an OlderPerson, I want to #use# #ALFRED# to learn about all the social activities that are organized in my neighborhood.@1093@As an OlderPerson, I want to #use# #ALFRED# to help me navigate despite my mild cognitive impairments.@2@2@0@False@True@False@True
g19user_story_1090_AND_user_story_1095@445@g19@1090@As an OlderPerson, I want to #use# #ALFRED# to learn about all the social activities that are organized in my neighborhood.@1095@As an OlderPerson, I want to #use# #ALFRED# to organize a meeting with a group of friends at a certain place.@2@2@0@False@True@False@True
g19user_story_1091_AND_user_story_1092@446@g19@1091@As an OlderPerson, I want to #use# #ALFRED# to get a personalized invitation to a social event, so that it motivates more to go.@1092@As an OlderPerson, I want to #use# #ALFRED# to navigate to an event or concert and help me when I am lost.@2@2@0@False@True@False@True
g19user_story_1091_AND_user_story_1093@447@g19@1091@As an OlderPerson, I want to #use# #ALFRED# to get a personalized invitation to a social event, so that it motivates more to go.@1093@As an OlderPerson, I want to #use# #ALFRED# to help me navigate despite my mild cognitive impairments.@2@2@0@False@True@False@True
g19user_story_1091_AND_user_story_1095@448@g19@1091@As an OlderPerson, I want to #use# #ALFRED# to get a personalized invitation to a social event, so that it motivates more to go.@1095@As an OlderPerson, I want to #use# #ALFRED# to organize a meeting with a group of friends at a certain place.@2@2@0@False@True@False@True
g19user_story_1092_AND_user_story_1093@449@g19@1092@As an OlderPerson, I want to #use# #ALFRED# to navigate to an event or concert and help me when I am lost.@1093@As an OlderPerson, I want to #use# #ALFRED# to help me navigate despite my mild cognitive impairments.@3@2@1@False@True@False@True
g19user_story_1092_AND_user_story_1095@450@g19@1092@As an OlderPerson, I want to #use# #ALFRED# to navigate to an event or concert and help me when I am lost.@1095@As an OlderPerson, I want to #use# #ALFRED# to organize a meeting with a group of friends at a certain place.@2@2@0@False@True@False@True
g19user_story_1093_AND_user_story_1095@451@g19@1093@As an OlderPerson, I want to #use# #ALFRED# to help me navigate despite my mild cognitive impairments.@1095@As an OlderPerson, I want to #use# #ALFRED# to organize a meeting with a group of friends at a certain place.@2@2@0@False@True@False@True
